original_index,delta,period,city
2698,-293.42999999999984,1,GRONINGEN
3052,-336.1999999999998,1,GRONINGEN
1548,383.5300000000002,1,GRONINGEN
212,-4067.4300000000003,1,GRONINGEN
3816,-11817.75,1,GRONINGEN
1150,-684.56,1,GRONINGEN
2890,-356.6700000000001,1,GRONINGEN
64,1089.2600000000002,1,GRONINGEN
172,-3083.0,1,GRONINGEN
55,-3410.7999999999993,1,GRONINGEN
1564,-4638.05,1,GRONINGEN
346,-3541.22,1,GRONINGEN
176,3725.0,1,GRONINGEN
2300,-846.27,1,GRONINGEN
1820,436.71000000000004,1,GRONINGEN
387,1487.13,1,GRONINGEN
1215,-754.1999999999998,1,GRONINGEN
2776,-2564.74,1,GRONINGEN
1030,-140.26,1,GRONINGEN
3776,561.7399999999998,1,GRONINGEN
3506,838.4200000000001,1,GRONINGEN
444,1755.4499999999998,1,GRONINGEN
1308,-5299.12,1,GRONINGEN
3497,-47.8900000000001,1,GRONINGEN
3704,-213.73999999999978,1,GRONINGEN
987,-599.9000000000001,1,GRONINGEN
3975,-758.76,1,GRONINGEN
296,-6541.06,1,GRONINGEN
1094,-47.24000000000001,1,GRONINGEN
3532,-89.69000000000005,1,GRONINGEN
3024,-1778.4699999999998,1,GRONINGEN
1491,-937.3299999999999,1,GRONINGEN
2538,-448.25,1,GRONINGEN
1769,-3223.08,1,GRONINGEN
560,-665.05,1,GRONINGEN
1840,-436.4200000000001,1,GRONINGEN
174,1643.7399999999998,1,GRONINGEN
3476,-1126.79,1,GRONINGEN
2845,1014.31,1,GRONINGEN
3863,591.46,1,GRONINGEN
198,-4406.67,1,GRONINGEN
543,68.15000000000009,1,GRONINGEN
287,3572.58,1,GRONINGEN
1316,-2516.05,1,GRONINGEN
3851,-555.4200000000001,1,GRONINGEN
3351,1533.0,1,GRONINGEN
3726,881.0799999999999,1,GRONINGEN
2613,-2299.5,1,GRONINGEN
3200,-10312.52,1,GRONINGEN
3579,-1614.19,1,GRONINGEN
911,-2081.15,1,GRONINGEN
1884,-2165.71,1,GRONINGEN
560,-665.05,1,GRONINGEN
2974,713.8400000000001,1,GRONINGEN
2186,2447.95,1,GRONINGEN
1402,3933.26,1,GRONINGEN
1986,-2680.12,1,GRONINGEN
1585,-164.8800000000001,1,GRONINGEN
2416,-668.0799999999999,1,GRONINGEN
3931,-1994.65,1,GRONINGEN
3398,-1482.8200000000002,1,GRONINGEN
3969,1183.8000000000002,1,GRONINGEN
2621,-4244.79,1,GRONINGEN
851,187.67000000000007,1,GRONINGEN
2915,-1283.12,1,GRONINGEN
606,-529.48,1,GRONINGEN
2480,-154.69000000000005,1,GRONINGEN
3922,-800.4099999999999,1,GRONINGEN
3010,-611.0999999999999,1,GRONINGEN
804,1162.2399999999998,1,GRONINGEN
3314,1147.5,1,GRONINGEN
609,-382.21000000000004,1,GRONINGEN
676,-1921.04,1,GRONINGEN
371,904.5500000000002,1,GRONINGEN
3006,417.5799999999999,1,GRONINGEN
153,9400.89,1,GRONINGEN
398,-2041.7299999999996,1,GRONINGEN
988,-595.1800000000001,1,GRONINGEN
335,13717.77,1,GRONINGEN
2094,1936.12,1,GRONINGEN
3139,-310.80999999999995,1,GRONINGEN
1026,-1853.33,1,GRONINGEN
1219,172.4699999999998,1,GRONINGEN
2654,1433.4099999999999,1,GRONINGEN
2041,317.5,1,GRONINGEN
1545,377.8899999999999,1,GRONINGEN
1947,-22110.8,1,GRONINGEN
1260,-427.04999999999995,1,GRONINGEN
3800,-1924.19,1,GRONINGEN
904,6424.15,1,GRONINGEN
1639,-134.1500000000001,1,GRONINGEN
3566,-1119.88,1,GRONINGEN
1401,3502.8999999999996,1,GRONINGEN
3562,-7017.29,1,GRONINGEN
1619,1346.0900000000001,1,GRONINGEN
641,-409.21000000000004,1,GRONINGEN
1974,-905.9200000000001,1,GRONINGEN
2403,-696.6199999999999,1,GRONINGEN
1211,976.31,1,GRONINGEN
2654,1433.4099999999999,1,GRONINGEN
3989,-2844.6099999999997,1,GRONINGEN
922,1047.79,1,GRONINGEN
1266,9.929999999999836,1,GRONINGEN
2879,-1246.08,1,GRONINGEN
1775,-1955.06,1,GRONINGEN
488,-80.63000000000011,1,GRONINGEN
1532,408.07000000000016,1,GRONINGEN
3218,741.8400000000001,1,GRONINGEN
415,-729.95,1,GRONINGEN
1578,-369.1300000000001,1,GRONINGEN
3648,-553.94,1,GRONINGEN
1263,2168.3900000000003,1,GRONINGEN
1447,3774.92,1,GRONINGEN
1527,718.25,1,GRONINGEN
1667,284.5799999999999,1,GRONINGEN
2381,189.3499999999999,1,GRONINGEN
3215,1670.04,1,GRONINGEN
1463,-671.1500000000001,1,GRONINGEN
3957,419.71000000000004,1,GRONINGEN
2011,-2883.35,1,GRONINGEN
3461,-599.29,1,GRONINGEN
2452,-580.3000000000002,1,GRONINGEN
2914,-1901.06,1,GRONINGEN
3586,-625.6799999999998,1,GRONINGEN
1958,-847.3600000000001,1,GRONINGEN
1319,175.8800000000001,1,GRONINGEN
419,596.0,1,GRONINGEN
3324,-219.80000000000018,1,GRONINGEN
1032,-653.55,1,GRONINGEN
355,14877.33,1,GRONINGEN
3705,-50.86999999999989,1,GRONINGEN
1120,2074.3,1,GRONINGEN
2773,-818.47,1,GRONINGEN
1499,6340.6900000000005,1,GRONINGEN
2221,698.1599999999999,1,GRONINGEN
2338,1787.5,1,GRONINGEN
304,24623.46,1,GRONINGEN
3323,-309.8499999999999,1,GRONINGEN
1205,-1899.24,1,GRONINGEN
1746,-1591.53,1,GRONINGEN
2348,-149.0,1,GRONINGEN
1960,-1832.85,1,GRONINGEN
1259,648.5300000000002,1,GRONINGEN
3945,-1572.26,1,GRONINGEN
2089,895.8699999999999,1,GRONINGEN
1875,-2187.81,1,GRONINGEN
285,-392.6999999999998,1,GRONINGEN
57,-16603.76,1,GRONINGEN
545,-308.8899999999999,1,GRONINGEN
1916,-2974.15,1,GRONINGEN
577,517.06,1,GRONINGEN
3227,-504.0,1,GRONINGEN
1781,1301.1100000000001,1,GRONINGEN
1671,-1958.33,1,GRONINGEN
200,-46.0,1,GRONINGEN
1172,-1829.87,1,GRONINGEN
3845,942.2800000000002,1,GRONINGEN
2169,-386.2800000000002,1,GRONINGEN
1059,67.0,1,GRONINGEN
563,-80.5,1,GRONINGEN
1256,629.0,1,GRONINGEN
3692,887.25,1,GRONINGEN
825,373.94000000000005,1,GRONINGEN
2928,-305.1700000000001,1,GRONINGEN
257,-1535.5500000000002,1,GRONINGEN
3760,-704.79,1,GRONINGEN
1722,154.55999999999995,1,GRONINGEN
3149,-384.2800000000002,1,GRONINGEN
3389,822.6300000000001,1,GRONINGEN
577,517.06,1,GRONINGEN
1230,327.67999999999984,1,GRONINGEN
1995,-42523.94,1,GRONINGEN
1721,-4496.9400000000005,1,GRONINGEN
818,-730.25,1,GRONINGEN
870,719.0500000000002,1,GRONINGEN
922,1047.79,1,GRONINGEN
3914,26117.6,1,GRONINGEN
2573,-117.25,1,GRONINGEN
2619,706.6099999999999,1,GRONINGEN
1326,927.6100000000001,1,GRONINGEN
1896,2322.76,1,GRONINGEN
2808,-811.8699999999999,1,GRONINGEN
47,-5712.9400000000005,1,GRONINGEN
149,12435.5,1,GRONINGEN
2754,-1816.58,1,GRONINGEN
2442,884.3899999999999,1,GRONINGEN
1501,4100.05,1,GRONINGEN
2569,291.6300000000001,1,GRONINGEN
426,-662.3299999999999,1,GRONINGEN
3479,273.9000000000001,1,GRONINGEN
2262,-747.2399999999998,1,GRONINGEN
890,594.6700000000001,1,GRONINGEN
1467,-6345.0,1,GRONINGEN
666,374.9200000000001,1,GRONINGEN
281,-2146.9300000000003,1,GRONINGEN
41,-2123.62,1,GRONINGEN
