original_index,delta,period,city
5925,1533,1,AMSTERDAM
3031,2723,1,AMSTERDAM
11469,949,1,AMSTERDAM
3535,-547,1,AMSTERDAM
11261,-173,1,AMSTERDAM
6575,-484,1,AMSTERDAM
7709,-996,1,AMSTERDAM
6991,-354,1,AMSTERDAM
8808,5503,1,AMSTERDAM
9628,-2452,1,AMSTERDAM
12211,374,1,AMSTERDAM
7441,-110,1,AMSTERDAM
14991,2562,1,AMSTERDAM
6450,-610,1,AMSTERDAM
13410,1410,1,AMSTERDAM
3679,-372,1,AMSTERDAM
8356,1679,1,AMSTERDAM
13675,155,1,AMSTERDAM
308,-5056,1,AMSTERDAM
8012,-2424,1,AMSTERDAM
8553,-1008,1,AMSTERDAM
10243,4057,1,AMSTERDAM
13259,3981,1,AMSTERDAM
3627,-1258,1,AMSTERDAM
12465,1851,1,AMSTERDAM
6831,-91,1,AMSTERDAM
1394,2967,1,AMSTERDAM
6136,-360,1,AMSTERDAM
10293,7826,1,AMSTERDAM
5712,-5089,1,AMSTERDAM
9325,459,1,AMSTERDAM
218,828,1,AMSTERDAM
7369,-582,1,AMSTERDAM
11938,-626,1,AMSTERDAM
343,1786,1,AMSTERDAM
7869,-385,1,AMSTERDAM
4506,-2036,1,AMSTERDAM
1870,-61,1,AMSTERDAM
825,645,1,AMSTERDAM
5690,444,1,AMSTERDAM
11499,678,1,AMSTERDAM
7549,-243,1,AMSTERDAM
9670,1940,1,AMSTERDAM
14691,-1970,1,AMSTERDAM
2582,559,1,AMSTERDAM
1333,2214,1,AMSTERDAM
2074,2211,1,AMSTERDAM
9359,1144,1,AMSTERDAM
9288,12475,1,AMSTERDAM
13508,2173,1,AMSTERDAM
11836,-1034,1,AMSTERDAM
5290,2258,1,AMSTERDAM
12599,-14983,1,AMSTERDAM
6059,-555,1,AMSTERDAM
414,20006,1,AMSTERDAM
14707,-32,1,AMSTERDAM
14267,-3202,1,AMSTERDAM
14397,1233,1,AMSTERDAM
3341,1975,1,AMSTERDAM
78,-314,1,AMSTERDAM
11112,-2585,1,AMSTERDAM
