original_index,delta,period,city
8655,-747,1,ROTTERDAM
8026,-1246,1,ROTTERDAM
7319,379,1,ROTTERDAM
3068,-978,1,ROTTERDAM
6089,-19725,1,ROTTERDAM
9622,357,1,ROTTERDAM
4617,-1278,1,ROTTERDAM
4214,-1186,1,ROTTERDAM
4474,-1743,1,ROTTERDAM
6902,-471,1,ROTTERDAM
3195,289,1,ROTTERDAM
686,-3938,1,ROTTERDAM
4091,-208,1,ROTTERDAM
8694,-460,1,ROTTERDAM
323,24598,1,ROTTERDAM
3036,-1118,1,ROTTERDAM
3480,-2965,1,ROTTERDAM
6971,1403,1,ROTTERDAM
8945,-1590,1,ROTTERDAM
620,693,1,ROTTERDAM
4716,-7954,1,ROTTERDAM
9402,-2539,1,ROTTERDAM
4947,1191,1,ROTTERDAM
9374,-1495,1,ROTTERDAM
2822,-898,1,ROTTERDAM
8118,10391,1,ROTTERDAM
3328,-4469,1,ROTTERDAM
2426,302,1,ROTTERDAM
107,-3268,1,ROTTERDAM
8148,165,1,ROTTERDAM
5611,-6542,1,ROTTERDAM
7054,920,1,ROTTERDAM
6054,-675,1,ROTTERDAM
4997,1419,1,ROTTERDAM
4534,-3640,1,ROTTERDAM
1858,1573,1,ROTTERDAM
2362,1160,1,ROTTERDAM
7531,-773,1,ROTTERDAM
3093,3426,1,ROTTERDAM
4073,2839,1,ROTTERDAM
5592,-5478,1,ROTTERDAM
5256,-270,1,ROTTERDAM
641,6742,1,ROTTERDAM
1843,-89,1,ROTTERDAM
4462,-1011,1,ROTTERDAM
713,3939,1,ROTTERDAM
1498,-518,1,ROTTERDAM
1846,850,1,ROTTERDAM
4051,8229,1,ROTTERDAM
8789,-1140,1,ROTTERDAM
5671,4197,1,ROTTERDAM
8978,150,1,ROTTERDAM
2023,-15518,1,ROTTERDAM
9028,93,1,ROTTERDAM
3964,-1474,1,ROTTERDAM
922,-863,1,ROTTERDAM
2592,3013,1,ROTTERDAM
9819,753,1,ROTTERDAM
701,-3261,1,ROTTERDAM
7192,-1046,1,ROTTERDAM
8677,-1239,1,ROTTERDAM
4211,3115,1,ROTTERDAM
6876,155,1,ROTTERDAM
4043,3740,1,ROTTERDAM
6138,-1070,1,ROTTERDAM
1732,-1488,1,ROTTERDAM
8546,190,1,ROTTERDAM
9732,-50,1,ROTTERDAM
1434,-855,1,ROTTERDAM
5932,-1480,1,ROTTERDAM
8463,559,1,ROTTERDAM
8674,-1314,1,ROTTERDAM
5950,304,1,ROTTERDAM
8980,-334,1,ROTTERDAM
5107,-259,1,ROTTERDAM
3166,1148,1,ROTTERDAM
9155,-349,1,ROTTERDAM
6412,540,1,ROTTERDAM
8778,125,1,ROTTERDAM
5722,1145,1,ROTTERDAM
1081,-2396,1,ROTTERDAM
9119,668,1,ROTTERDAM
7792,-581,1,ROTTERDAM
2987,696,1,ROTTERDAM
8580,-1582,1,ROTTERDAM
4927,2565,1,ROTTERDAM
7164,328,1,ROTTERDAM
9867,37,1,ROTTERDAM
1799,-189,1,ROTTERDAM
8037,16,1,ROTTERDAM
9981,-1937,1,ROTTERDAM
5289,-6289,1,ROTTERDAM
2402,-1135,1,ROTTERDAM
5673,-2045,1,ROTTERDAM
9969,-898,1,ROTTERDAM
9459,-187,1,ROTTERDAM
5193,-5,1,ROTTERDAM
7212,-3608,1,ROTTERDAM
7691,-1604,1,ROTTERDAM
694,-1103,1,ROTTERDAM
735,9470,1,ROTTERDAM
916,5058,1,ROTTERDAM
7147,1677,1,ROTTERDAM
8965,-269,1,ROTTERDAM
6975,663,1,ROTTERDAM
640,10644,1,ROTTERDAM
9610,26258,1,ROTTERDAM
113,6983,1,ROTTERDAM
1001,991,1,ROTTERDAM
3375,537,1,ROTTERDAM
3680,-2358,1,ROTTERDAM
9215,2152,1,ROTTERDAM
3657,706,1,ROTTERDAM
1681,-86,1,ROTTERDAM
